shipment_id,type,date,product_category,origin,O_Country,destination,D_Country,value,freight_cost,customs_clearance_time_days,delivery_status
SHP-2024-0001,Export,2024-01-02,Electronics,Mumbai, India,New York, USA,85000,4250,2.1,On-Time
SHP-2024-0002,Import,2024-01-03,Textiles,Shanghai, China,Mumbai, India,120000,6000,3.5,On-Time
SHP-2024-0003,Export,2024-01-04,Consumer Goods,Mumbai, India,London, UK,45000,2250,1.8,On-Time
SHP-2024-0004,Import,2024-01-05,Industrial Equipment,Hamburg, Germany,Mumbai, India,250000,12500,4.2,Delayed
SHP-2024-0005,Export,2024-01-06,Electronics,Mumbai, India,Tokyo, Japan,95000,4750,2.5,On-Time
SHP-2024-0006,Import,2024-01-07,Consumer Goods,Ho Chi Minh City, Vietnam,Mumbai, India,60000,3000,2.0,On-Time
SHP-2024-0007,Export,2024-01-08,Textiles,Mumbai, India,Dubai, UAE,75000,3750,1.5,On-Time
SHP-2024-0008,Import,2024-01-09,Electronics,Seoul, South Korea,Mumbai, India,180000,9000,3.8,On-Time
SHP-2024-0009,Export,2024-01-10,Industrial Equipment,Mumbai, India,Singapore,65000,3250,2.2,On-Time
SHP-2024-0010,Import,2024-01-11,Textiles,Dhaka, Bangladesh,Mumbai, India,90000,4500,2.7,On-Time
SHP-2024-0011,Export,2024-01-12,Consumer Goods,Mumbai, India,Sydney, Australia,55000,2750,3.1,Delayed
SHP-2024-0012,Import,2024-01-13,Electronics,Taipei, Taiwan,Mumbai, India,210000,10500,4.0,On-Time
SHP-2024-0013,Export,2024-01-14,Industrial Equipment,Mumbai, India,Rotterdam, Netherlands,130000,6500,3.3,On-Time
SHP-2024-0014,Import,2024-01-15,Consumer Goods,Bangkok, Thailand,Mumbai, India,70000,3500,2.4,On-Time
SHP-2024-0015,Export,2024-01-16,Textiles,Mumbai, India,New York, USA,110000,5500,2.9,On-Time
SHP-2024-0016,Import,2024-01-17,Industrial Equipment,Genoa, Italy,Mumbai, India,190000,9500,4.5,On-Time
SHP-2024-0017,Export,2024-01-18,Electronics,Mumbai, India,Los Angeles, USA,150000,7500,3.0,On-Time
SHP-2024-0018,Import,2024-01-19,Textiles,Istanbul, Turkey,Mumbai, India,80000,4000,3.2,Delayed
SHP-2024-0019,Export,2024-01-20,Consumer Goods,Mumbai, India,Jeddah, Saudi Arabia,35000,1750,1.9,On-Time
SHP-2024-0020,Import,2024-01-21,Electronics,San Francisco, USA,Mumbai, India,220000,11000,4.1,On-Time
SHP-2024-0021,Export,2024-01-22,Industrial Equipment,Mumbai, India,Durban, South Africa,95000,4750,3.6,On-Time
SHP-2024-0022,Import,2024-01-23,Consumer Goods,Jakarta, Indonesia,Mumbai, India,48000,2400,2.6,On-Time
SHP-2024-0023,Export,2024-01-24,Textiles,Mumbai, India,Lagos, Nigeria,65000,3250,3.4,On-Time
SHP-2024-0024,Import,2024-01-25,Industrial Equipment,Yokohama, Japan,Mumbai, India,300000,15000,4.8,Delayed
SHP-2024-0025,Export,2024-01-26,Electronics,Mumbai, India,Mexico City, Mexico,120000,6000,3.9,On-Time
SHP-2024-0026,Import,2024-01-27,Consumer Goods,Manila, Philippines,Mumbai, India,40000,2000,2.8,On-Time
SHP-2024-0027,Export,2024-01-28,Textiles,Mumbai, India,Cairo, Egypt,50000,2500,2.3,On-Time
SHP-2024-0028,Import,2024-01-29,Electronics,Helsinki, Finland,Mumbai, India,160000,8000,3.7,On-Time
SHP-2024-0029,Export,2024-01-30,Consumer Goods,Mumbai, India,Rio de Janeiro, Brazil,70000,3500,4.3,On-Time
SHP-2024-0030,Import,2024-01-31,Industrial Equipment,Busan, South Korea,Mumbai, India,280000,14000,4.6,On-Time
SHP-2024-0031,Export,2024-02-01,Electronics,Mumbai, India,New York, USA,88000,4400,2.2,On-Time
SHP-2024-0032,Import,2024-02-02,Textiles,Shanghai, China,Mumbai, India,125000,6250,3.6,On-Time
SHP-2024-0033,Export,2024-02-03,Consumer Goods,Mumbai, India,London, UK,47000,2350,1.9,Delayed
SHP-2024-0034,Import,2024-02-04,Industrial Equipment,Hamburg, Germany,Mumbai, India,260000,13000,4.3,On-Time
SHP-2024-0035,Export,2024-02-05,Electronics,Mumbai, India,Tokyo, Japan,99000,4950,2.6,On-Time
SHP-2024-0036,Import,2024-02-06,Consumer Goods,Ho Chi Minh City, Vietnam,Mumbai, India,63000,3150,2.1,On-Time
SHP-2024-0037,Export,2024-02-07,Textiles,Mumbai, India,Dubai, UAE,79000,3950,1.6,On-Time
SHP-2024-0038,Import,2024-02-08,Electronics,Seoul, South Korea,Mumbai, India,187000,9350,3.9,On-Time
SHP-2024-0039,Export,2024-02-09,Industrial Equipment,Mumbai, India,Singapore,69000,3450,2.3,Delayed
SHP-2024-0040,Import,2024-02-10,Textiles,Dhaka, Bangladesh,Mumbai, India,94000,4700,2.8,On-Time
SHP-2024-0041,Export,2024-02-11,Consumer Goods,Mumbai, India,Sydney, Australia,59000,2950,3.2,On-Time
SHP-2024-0042,Import,2024-02-12,Electronics,Taipei, Taiwan,Mumbai, India,218000,10900,4.1,On-Time
SHP-2024-0043,Export,2024-02-13,Industrial Equipment,Mumbai, India,Rotterdam, Netherlands,138000,6900,3.4,On-Time
SHP-2024-0044,Import,2024-02-14,Consumer Goods,Bangkok, Thailand,Mumbai, India,74000,3700,2.5,On-Time
SHP-2024-0045,Export,2024-02-15,Textiles,Mumbai, India,New York, USA,115000,5750,3.0,Delayed
SHP-2024-0046,Import,2024-02-16,Industrial Equipment,Genoa, Italy,Mumbai, India,198000,9900,4.6,On-Time
SHP-2024-0047,Export,2024-02-17,Electronics,Mumbai, India,Los Angeles, USA,158000,7900,3.1,On-Time
SHP-2024-0048,Import,2024-02-18,Textiles,Istanbul, Turkey,Mumbai, India,84000,4200,3.3,On-Time
SHP-2024-0049,Export,2024-02-19,Consumer Goods,Mumbai, India,Jeddah, Saudi Arabia,39000,1950,2.0,On-Time
SHP-2024-0050,Import,2024-02-20,Electronics,San Francisco, USA,Mumbai, India,228000,11400,4.2,On-Time
SHP-2024-0051,Export,2024-02-21,Industrial Equipment,Mumbai, India,Durban, South Africa,98000,4900,3.7,On-Time
SHP-2024-0052,Import,2024-02-22,Consumer Goods,Jakarta, Indonesia,Mumbai, India,51000,2550,2.7,On-Time
SHP-2024-0053,Export,2024-02-23,Textiles,Mumbai, India,Lagos, Nigeria,68000,3400,3.5,Delayed
SHP-2024-0054,Import,2024-02-24,Industrial Equipment,Yokohama, Japan,Mumbai, India,310000,15500,4.9,On-Time
SHP-2024-0055,Export,2024-02-25,Electronics,Mumbai, India,Mexico City, Mexico,124000,6200,4.0,On-Time
SHP-2024-0056,Import,2024-02-26,Consumer Goods,Manila, Philippines,Mumbai, India,43000,2150,2.9,On-Time
SHP-2024-0057,Export,2024-02-27,Textiles,Mumbai, India,Cairo, Egypt,53000,2650,2.4,On-Time
SHP-2024-0058,Import,2024-02-28,Electronics,Helsinki, Finland,Mumbai, India,165000,8250,3.8,On-Time
SHP-2024-0059,Export,2024-03-01,Consumer Goods,Mumbai, India,Rio de Janeiro, Brazil,73000,3650,4.4,Delayed
SHP-2024-0060,Import,2024-03-02,Industrial Equipment,Busan, South Korea,Mumbai, India,288000,14400,4.7,On-Time
SHP-2024-0061,Export,2024-03-03,Electronics,Mumbai, India,New York, USA,92000,4600,2.3,On-Time
SHP-2024-0062,Import,2024-03-04,Textiles,Shanghai, China,Mumbai, India,130000,6500,3.7,On-Time
SHP-2024-0063,Export,2024-03-05,Consumer Goods,Mumbai, India,London, UK,50000,2500,2.0,On-Time
SHP-2024-0064,Import,2024-03-06,Industrial Equipment,Hamburg, Germany,Mumbai, India,270000,13500,4.4,On-Time
SHP-2024-0065,Export,2024-03-07,Electronics,Mumbai, India,Tokyo, Japan,105000,5250,2.7,On-Time
SHP-2024-0066,Import,2024-03-08,Consumer Goods,Ho Chi Minh City, Vietnam,Mumbai, India,66000,3300,2.2,Delayed
SHP-2024-0067,Export,2024-03-09,Textiles,Mumbai, India,Dubai, UAE,83000,4150,1.7,On-Time
SHP-2024-0068,Import,2024-03-10,Electronics,Seoul, South Korea,Mumbai, India,195000,9750,4.0,On-Time
SHP-2024-0069,Export,2024-03-11,Industrial Equipment,Mumbai, India,Singapore,72000,3600,2.4,On-Time
SHP-2024-0070,Import,2024-03-12,Textiles,Dhaka, Bangladesh,Mumbai, India,98000,4900,2.9,On-Time
SHP-2024-0071,Export,2024-03-13,Consumer Goods,Mumbai, India,Sydney, Australia,62000,3100,3.3,On-Time
SHP-2024-0072,Import,2024-03-14,Electronics,Taipei, Taiwan,Mumbai, India,225000,11250,4.2,Delayed
SHP-2024-0073,Export,2024-03-15,Industrial Equipment,Mumbai, India,Rotterdam, Netherlands,145000,7250,3.5,On-Time
SHP-2024-0074,Import,2024-03-16,Consumer Goods,Bangkok, Thailand,Mumbai, India,78000,3900,2.6,On-Time
SHP-2024-0075,Export,2024-03-17,Textiles,Mumbai, India,New York, USA,120000,6000,3.1,On-Time
SHP-2024-0076,Import,2024-03-18,Industrial Equipment,Genoa, Italy,Mumbai, India,205000,10250,4.7,On-Time
SHP-2024-0077,Export,2024-03-19,Electronics,Mumbai, India,Los Angeles, USA,165000,8250,3.2,On-Time
SHP-2024-0078,Import,2024-03-20,Textiles,Istanbul, Turkey,Mumbai, India,88000,4400,3.4,On-Time
SHP-2024-0079,Export,2024-03-21,Consumer Goods,Mumbai, India,Jeddah, Saudi Arabia,42000,2100,2.1,Delayed
SHP-2024-0080,Import,2024-03-22,Electronics,San Francisco, USA,Mumbai, India,235000,11750,4.3,On-Time
SHP-2024-0081,Export,2024-03-23,Industrial Equipment,Mumbai, India,Durban, South Africa,102000,5100,3.8,On-Time
SHP-2024-0082,Import,2024-03-24,Consumer Goods,Jakarta, Indonesia,Mumbai, India,54000,2700,2.8,On-Time
SHP-2024-0083,Export,2024-03-25,Textiles,Mumbai, India,Lagos, Nigeria,71000,3550,3.6,On-Time
SHP-2024-0084,Import,2024-03-26,Industrial Equipment,Yokohama, Japan,Mumbai, India,320000,16000,5.0,On-Time
SHP-2024-0085,Export,2024-03-27,Electronics,Mumbai, India,Mexico City, Mexico,128000,6400,4.1,Delayed
SHP-2024-0086,Import,2024-03-28,Consumer Goods,Manila, Philippines,Mumbai, India,46000,2300,3.0,On-Time
SHP-2024-0087,Export,2024-03-29,Textiles,Mumbai, India,Cairo, Egypt,56000,2800,2.5,On-Time
SHP-2024-0088,Import,2024-03-30,Electronics,Helsinki, Finland,Mumbai, India,170000,8500,3.9,On-Time
SHP-2024-0089,Export,2024-03-31,Consumer Goods,Mumbai, India,Rio de Janeiro, Brazil,76000,3800,4.5,On-Time
SHP-2024-0090,Import,2024-04-01,Industrial Equipment,Busan, South Korea,Mumbai, India,295000,14750,4.8,On-Time
SHP-2024-0091,Export,2024-04-02,Electronics,Mumbai, India,New York, USA,95000,4750,2.4,On-Time
SHP-2024-0092,Import,2024-04-03,Textiles,Shanghai, China,Mumbai, India,135000,6750,3.8,Delayed
SHP-2024-0093,Export,2024-04-04,Consumer Goods,Mumbai, India,London, UK,52000,2600,2.1,On-Time
SHP-2024-0094,Import,2024-04-05,Industrial Equipment,Hamburg, Germany,Mumbai, India,275000,13750,4.5,On-Time
SHP-2024-0095,Export,2024-04-06,Electronics,Mumbai, India,Tokyo, Japan,110000,5500,2.8,On-Time
SHP-2024-0096,Import,2024-04-07,Consumer Goods,Ho Chi Minh City, Vietnam,Mumbai, India,68000,3400,2.3,On-Time
SHP-2024-0097,Export,2024-04-08,Textiles,Mumbai, India,Dubai, UAE,86000,4300,1.8,On-Time
SHP-2024-0098,Import,2024-04-09,Electronics,Seoul, South Korea,Mumbai, India,200000,10000,4.1,Delayed
SHP-2024-0099,Export,2024-04-10,Industrial Equipment,Mumbai, India,Singapore,75000,3750,2.5,On-Time
SHP-2024-0100,Import,2024-04-11,Textiles,Dhaka, Bangladesh,Mumbai, India,100000,5000,3.0,On-Time
SHP-2024-0101,Export,2024-04-12,Consumer Goods,Mumbai, India,Sydney, Australia,65000,3250,3.4,On-Time
SHP-2024-0102,Import,2024-04-13,Electronics,Taipei, Taiwan,Mumbai, India,230000,11500,4.3,On-Time
SHP-2024-0103,Export,2024-04-14,Industrial Equipment,Mumbai, India,Rotterdam, Netherlands,150000,7500,3.6,On-Time
SHP-2024-0104,Import,2024-04-15,Consumer Goods,Bangkok, Thailand,Mumbai, India,80000,4000,2.7,Delayed
SHP-2024-0105,Export,2024-04-16,Textiles,Mumbai, India,New York, USA,125000,6250,3.2,On-Time
SHP-2024-0106,Import,2024-04-17,Industrial Equipment,Genoa, Italy,Mumbai, India,210000,10500,4.8,On-Time
SHP-2024-0107,Export,2024-04-18,Electronics,Mumbai, India,Los Angeles, USA,170000,8500,3.3,On-Time
SHP-2024-0108,Import,2024-04-19,Textiles,Istanbul, Turkey,Mumbai, India,90000,4500,3.5,On-Time
SHP-2024-0109,Export,2024-04-20,Consumer Goods,Mumbai, India,Jeddah, Saudi Arabia,45000,2250,2.2,On-Time
SHP-2024-0110,Import,2024-04-21,Electronics,San Francisco, USA,Mumbai, India,240000,12000,4.4,Delayed
SHP-2024-0111,Export,2024-04-22,Industrial Equipment,Mumbai, India,Durban, South Africa,105000,5250,3.9,On-Time
SHP-2024-0112,Import,2024-04-23,Consumer Goods,Jakarta, Indonesia,Mumbai, India,56000,2800,2.9,On-Time
SHP-2024-0113,Export,2024-04-24,Textiles,Mumbai, India,Lagos, Nigeria,73000,3650,3.7,On-Time
SHP-2024-0114,Import,2024-04-25,Industrial Equipment,Yokohama, Japan,Mumbai, India,330000,16500,5.1,On-Time
SHP-2024-0115,Export,2024-04-26,Electronics,Mumbai, India,Mexico City, Mexico,132000,6600,4.2,On-Time
SHP-2024-0116,Import,2024-04-27,Consumer Goods,Manila, Philippines,Mumbai, India,48000,2400,3.1,Delayed
SHP-2024-0117,Export,2024-04-28,Textiles,Mumbai, India,Cairo, Egypt,58000,2900,2.6,On-Time
SHP-2024-0118,Import,2024-04-29,Electronics,Helsinki, Finland,Mumbai, India,175000,8750,4.0,On-Time
SHP-2024-0119,Export,2024-04-30,Consumer Goods,Mumbai, India,Rio de Janeiro, Brazil,78000,3900,4.6,On-Time
SHP-2024-0120,Import,2024-05-01,Industrial Equipment,Busan, South Korea,Mumbai, India,300000,15000,4.9,On-Time
SHP-2024-0121,Export,2024-05-02,Electronics,Mumbai, India,New York, USA,98000,4900,2.5,On-Time
SHP-2024-0122,Import,2024-05-03,Textiles,Shanghai, China,Mumbai, India,140000,7000,3.9,On-Time
SHP-2024-0123,Export,2024-05-04,Consumer Goods,Mumbai, India,London, UK,54000,2700,2.2,Delayed
SHP-2024-0124,Import,2024-05-05,Industrial Equipment,Hamburg, Germany,Mumbai, India,280000,14000,4.6,On-Time
SHP-2024-0125,Export,2024-05-06,Electronics,Mumbai, India,Tokyo, Japan,115000,5750,2.9,On-Time
SHP-2024-0126,Import,2024-05-07,Consumer Goods,Ho Chi Minh City, Vietnam,Mumbai, India,70000,3500,2.4,On-Time
SHP-2024-0127,Export,2024-05-08,Textiles,Mumbai, India,Dubai, UAE,89000,4450,1.9,On-Time
SHP-2024-0128,Import,2024-05-09,Electronics,Seoul, South Korea,Mumbai, India,205000,10250,4.2,On-Time
SHP-2024-0129,Export,2024-05-10,Industrial Equipment,Mumbai, India,Singapore,78000,3900,2.6,Delayed
SHP-2024-0130,Import,2024-05-11,Textiles,Dhaka, Bangladesh,Mumbai, India,103000,5150,3.1,On-Time
SHP-2024-0131,Export,2024-05-12,Consumer Goods,Mumbai, India,Sydney, Australia,68000,3400,3.5,On-Time
SHP-2024-0132,Import,2024-05-13,Electronics,Taipei, Taiwan,Mumbai, India,235000,11750,4.4,On-Time
SHP-2024-0133,Export,2024-05-14,Industrial Equipment,Mumbai, India,Rotterdam, Netherlands,155000,7750,3.7,On-Time
SHP-2024-0134,Import,2024-05-15,Consumer Goods,Bangkok, Thailand,Mumbai, India,82000,4100,2.8,On-Time
SHP-2024-0135,Export,2024-05-16,Textiles,Mumbai, India,New York, USA,130000,6500,3.3,Delayed
SHP-2024-0136,Import,2024-05-17,Industrial Equipment,Genoa, Italy,Mumbai, India,215000,10750,4.9,On-Time
SHP-2024-0137,Export,2024-05-18,Electronics,Mumbai, India,Los Angeles, USA,175000,8750,3.4,On-Time
SHP-2024-0138,Import,2024-05-19,Textiles,Istanbul, Turkey,Mumbai, India,93000,4650,3.6,On-Time
SHP-2024-0139,Export,2024-05-20,Consumer Goods,Mumbai, India,Jeddah, Saudi Arabia,48000,2400,2.3,On-Time
SHP-2024-0140,Import,2024-05-21,Electronics,San Francisco, USA,Mumbai, India,245000,12250,4.5,On-Time
SHP-2024-0141,Export,2024-05-22,Industrial Equipment,Mumbai, India,Durban, South Africa,108000,5400,4.0,Delayed
SHP-2024-0142,Import,2024-05-23,Consumer Goods,Jakarta, Indonesia,Mumbai, India,58000,2900,3.0,On-Time
SHP-2024-0143,Export,2024-05-24,Textiles,Mumbai, India,Lagos, Nigeria,75000,3750,3.8,On-Time
SHP-2024-0144,Import,2024-05-25,Industrial Equipment,Yokohama, Japan,Mumbai, India,340000,17000,5.2,On-Time
SHP-2024-0145,Export,2024-05-26,Electronics,Mumbai, India,Mexico City, Mexico,135000,6750,4.3,On-Time
SHP-2024-0146,Import,2024-05-27,Consumer Goods,Manila, Philippines,Mumbai, India,50000,2500,3.2,On-Time
SHP-2024-0147,Export,2024-05-28,Textiles,Mumbai, India,Cairo, Egypt,60000,3000,2.7,Delayed
SHP-2024-0148,Import,2024-05-29,Electronics,Helsinki, Finland,Mumbai, India,180000,9000,4.1,On-Time
SHP-2024-0149,Export,2024-05-30,Consumer Goods,Mumbai, India,Rio de Janeiro, Brazil,80000,4000,4.7,On-Time
SHP-2024-0150,Import,2024-05-31,Industrial Equipment,Busan, South Korea,Mumbai, India,305000,15250,5.0,On-Time
SHP-2024-0151,Export,2024-06-01,Electronics,Mumbai, India,New York, USA,101000,5050,2.6,On-Time
SHP-2024-0152,Import,2024-06-02,Textiles,Shanghai, China,Mumbai, India,145000,7250,4.0,On-Time
SHP-2024-0153,Export,2024-06-03,Consumer Goods,Mumbai, India,London, UK,56000,2800,2.3,On-Time
SHP-2024-0154,Import,2024-06-04,Industrial Equipment,Hamburg, Germany,Mumbai, India,285000,14250,4.7,Delayed
SHP-2024-0155,Export,2024-06-05,Electronics,Mumbai, India,Tokyo, Japan,118000,5900,3.0,On-Time
SHP-2024-0156,Import,2024-06-06,Consumer Goods,Ho Chi Minh City, Vietnam,Mumbai, India,72000,3600,2.5,On-Time
SHP-2024-0157,Export,2024-06-07,Textiles,Mumbai, India,Dubai, UAE,92000,4600,2.0,On-Time
SHP-2024-0158,Import,2024-06-08,Electronics,Seoul, South Korea,Mumbai, India,210000,10500,4.3,On-Time
SHP-2024-0159,Export,2024-06-09,Industrial Equipment,Mumbai, India,Singapore,81000,4050,2.7,On-Time
SHP-2024-0160,Import,2024-06-10,Textiles,Dhaka, Bangladesh,Mumbai, India,106000,5300,3.2,Delayed
SHP-2024-0161,Export,2024-06-11,Consumer Goods,Mumbai, India,Sydney, Australia,71000,3550,3.6,On-Time
SHP-2024-0162,Import,2024-06-12,Electronics,Taipei, Taiwan,Mumbai, India,240000,12000,4.5,On-Time
SHP-2024-0163,Export,2024-06-13,Industrial Equipment,Mumbai, India,Rotterdam, Netherlands,160000,8000,3.8,On-Time
SHP-2024-0164,Import,2024-06-14,Consumer Goods,Bangkok, Thailand,Mumbai, India,85000,4250,2.9,On-Time
SHP-2024-0165,Export,2024-06-15,Textiles,Mumbai, India,New York, USA,135000,6750,3.4,On-Time
SHP-2024-0166,Import,2024-06-16,Industrial Equipment,Genoa, Italy,Mumbai, India,220000,11000,5.0,Delayed
SHP-2024-0167,Export,2024-06-17,Electronics,Mumbai, India,Los Angeles, USA,180000,9000,3.5,On-Time
SHP-2024-0168,Import,2024-06-18,Textiles,Istanbul, Turkey,Mumbai, India,96000,4800,3.7,On-Time
SHP-2024-0169,Export,2024-06-19,Consumer Goods,Mumbai, India,Jeddah, Saudi Arabia,51000,2550,2.4,On-Time
SHP-2024-0170,Import,2024-06-20,Electronics,San Francisco, USA,Mumbai, India,250000,12500,4.6,On-Time
SHP-2024-0171,Export,2024-06-21,Industrial Equipment,Mumbai, India,Durban, South Africa,112000,5600,4.1,On-Time
SHP-2024-0172,Import,2024-06-22,Consumer Goods,Jakarta, Indonesia,Mumbai, India,61000,3050,3.1,Delayed
SHP-2024-0173,Export,2024-06-23,Textiles,Mumbai, India,Lagos, Nigeria,78000,3900,3.9,On-Time
SHP-2024-0174,Import,2024-06-24,Industrial Equipment,Yokohama, Japan,Mumbai, India,350000,17500,5.3,On-Time
SHP-2024-0175,Export,2024-06-25,Electronics,Mumbai, India,Mexico City, Mexico,138000,6900,4.4,On-Time
SHP-2024-0176,Import,2024-06-26,Consumer Goods,Manila, Philippines,Mumbai, India,53000,2650,3.3,On-Time
SHP-2024-0177,Export,2024-06-27,Textiles,Mumbai, India,Cairo, Egypt,63000,3150,2.8,On-Time
SHP-2024-0178,Import,2024-06-28,Electronics,Helsinki, Finland,Mumbai, India,185000,9250,4.2,Delayed
SHP-2024-0179,Export,2024-06-29,Consumer Goods,Mumbai, India,Rio de Janeiro, Brazil,83000,4150,4.8,On-Time
SHP-2024-0180,Import,2024-06-30,Industrial Equipment,Busan, South Korea,Mumbai, India,310000,15500,5.1,On-Time
SHP-2024-0181,Export,2024-07-01,Electronics,Mumbai, India,New York, USA,104000,5200,2.7,On-Time
